日期,剩余银币,消耗银币
2025-04-09,136737,0
2025-04-10,30000,196552
2025-04-11,89418,15149
2025-04-12,219876,0
2025-04-13,315293,0
2025-04-14,414632,0
2025-04-15,563181,0
2025-04-16,700625,0
2025-04-17,784541,0
2025-04-18,938439,0
2025-04-19,1070069,0
2025-04-20,1145000,0
2025-04-21,1323922,0
2025-04-22,1385899,0
2025-04-23,1440625,0
2025-04-24,1513739,0
2025-04-25,1627782,18888
2025-04-26,1710000,0
2025-04-27,1760499,0
2025-04-28,1851055,0
2025-04-29,2003497,0
2025-04-30,2125381,0
2025-05-01,1639179,641938
2025-05-02,1777274,3000
2025-05-03,1927300,0
2025-05-04,1982421,3810
2025-05-05,2176959,0
2025-05-06,2246844,0
2025-05-07,2308473,0
2025-05-08,2463192,0
2025-05-09,2601867,0
2025-05-10,2735984,0
2025-05-11,2818665,0
2025-05-12,3038065,0
2025-05-13,3106865,0
2025-05-14,3157438,0
2025-05-15,3252009,0
2025-05-16,3355263,0
2025-05-17,3115100,360000
2025-05-18,3195720,0
2025-05-19,3282433,0
2025-05-20,3420533,0
2025-05-21,3473414,0
2025-05-22,3581795,9430
2025-05-23,3692475,0
2025-05-24,3734065,82204
2025-05-25,3838681,0
2025-05-26,3990193,0
2025-05-27,4056471,0
2025-05-28,4148243,0
2025-05-29,4219256,0
2025-05-30,4337494,0
2025-05-31,4452090,0
2025-06-01,4597959,0
2025-06-02,4732354,6900
2025-06-03,4874145,0
2025-06-04,4957333,0
2025-06-05,5026673,18252
2025-06-06,5106033,0
2025-06-07,5221019,0
2025-06-08,5321959,0
2025-06-09,5455193,0
2025-06-10,5537813,7873
2025-06-11,5632382,0
2025-06-12,5684222,0
2025-06-13,5833061,0
2025-06-14,5984093,0
2025-06-15,6058919,0
2025-06-16,6208308,24895
2025-06-17,6327139,0
2025-06-18,6409393,0
2025-06-19,6431713,0
